Company Rate,Company Name,Title,Location,Salary,Staus,Post Date,Job Link
3.5,Kelly,Scientist I,"Rancho Santa Fe, CA",,,02/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1044072&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_90296e41&cb=1617667688347&jobListingId=4023135617
3.4,Charles River Laboratories,Research Scientist 1,"Shrewsbury, MA",$48K - $106K (Glassdoor est.),Hiring Surge,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_6d0e6507&cb=1617667688348&jobListingId=4020150376
3.7,Fulgent Therapeutics Llc,Assay Development - Research Scientist 1,"Temple City, CA",,,02/04/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_54283cc9&cb=1617667688348&jobListingId=4050507362
3.8,CACI,Computer Scientist Level 1,"Fort Meade, MD",$39K - $67K (Glassdoor est.),,15/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_b1035ae9&cb=1617667688348&jobListingId=4003596045
4.1,Bristol Myers Squibb,Production Engineer/Scientist 1,"Devens, MA",$60K - $95K (Glassdoor est.),Top Company,30/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_08626f5f&cb=1617667688348&jobListingId=4046851734
3.8,Best Buy,Software Engineer I - Customer Data,"Richfield, MN",$38K - $82K (Glassdoor est.),,31/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=1044074&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_b0c0099c&cb=1617667688348&jobListingId=4047431799
3.9,Hologic,Operations Scientist 1,"San Diego, CA",$46K - $98K (Glassdoor est.),,10/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=1044077&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dfae5016&cb=1617667688349&jobListingId=4027857445
3.8,System One,Scientist I/II,"Pleasanton, CA",,,11/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1044072&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&cs=1_685b6cdf&cb=1617667688349&jobListingId=3773733345
,Therapeutic Health Choice,Cannabis Laboratory Scientist-1 year experience required,"Bay City, MI",,,12/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1044077&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_64656ec6&cb=1617667688349&jobListingId=4029525975
,MOgene,Clinical Laboratory Scientist I,"Saint Louis, MO",,,29/03/2021,https://www.glassdoor.com/partner/jobListing.htm?pos=128&ao=1044077&s=58&guid=00000178a48205bcb110d64da998496a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e71dcf62&cb=1617667688349&jobListingId=4045784988
